ID,model,repeat,premise,hypothesis,error,baseline_KB,additive_verbs_KB,all_verbs_KB,context_pos_KB,additive_pos_KB,fixed_reference_column,fixed_reference_KB
4662948361.jpg#2r1e,anthropic/claude-sonnet-4.5,5,An orange car is driving across a steel bridge in a city.,A car is driving across a bridge.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
466956209.jpg#1r1e,anthropic/claude-sonnet-4.5,5,A distant person is climbing up a very sheer mountain.,People are outside climbing.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Lasha_KB,NO_RELATION
4688301633.jpg#3r1n,anthropic/claude-sonnet-4.5,5,A surgeon is performing an open surgery.,A doctor is doing some kind of medical operation.,,"isa_wn(surgeon, doctor); isa_wn(surgery, medical operation); isa_wn(perform, do)","isa_wn(surgeon, doctor); isa_wn(surgery, medical operation); isa_wn(perform, do)","isa_wn(surgeon, doctor); isa_wn(surgery, medical operation); isa_wn(perform, do)","isa_wn(surgeon, doctor); isa_wn(surgery, medical operation); isa_wn(perform, do)","isa_wn(surgeon, doctor); isa_wn(surgery, medical operation); isa_wn(perform, do)",Lasha_KB,"(surgeon, doctor); (surgery, medical operation)"
4697314878.jpg#1r1e,anthropic/claude-sonnet-4.5,5,"A man walks away from a bright yellow, red and blue bounce house.",A man leaves a brightly colored bounce house.,,"isa_wn(walk away, leave); isa_wn(bright yellow, red and blue, brightly colored)","isa_wn(walk away, leave); isa_wn(bright yellow, red and blue, brightly colored)","isa_wn(walk away, leave); isa_wn(bright yellow, red and blue, brightly colored)","isa_wn(walk away, leave); isa_wn(bright yellow, red and blue, brightly colored)","isa_wn(walk away, leave); isa_wn(bright yellow, red and blue, brightly colored)",Stefan_KB,"(walk away, leave)"
4703790336.jpg#2r1n,anthropic/claude-sonnet-4.5,5,A woman in a yellow dress transporting picked food from the fields to wherever it may need to go.,A woman transports her crops from the fields,,"isa_wn(picked food, crop)","isa_wn(picked food, crop); isa_wn(pick food, crop)","isa_wn(pick food, crop)","isa_wn(pick food, crop)","isa_wn(picked food, crop); isa_wn(pick food, crop)",Lasha_KB,"(picked food, crop)"
4704577040.jpg#1r1e,anthropic/claude-sonnet-4.5,5,A thin man in a maroon shirt standing next to a pay phone.,A man is standing next to a payphone wearing a maroon shirt.,,"isa_wn(pay phone, payphone)","isa_wn(pay phone, payphone)","isa_wn(pay phone, payphone)","isa_wn(pay phone, payphone)","isa_wn(pay phone, payphone)",Stefan_KB,"(pay phone, payphone)"
4718146904.jpg#2r1e,anthropic/claude-sonnet-4.5,5,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
4729191874.jpg#0r1e,anthropic/claude-sonnet-4.5,5,A woman in a brown shirt and a man in a hat cross the street.,A man and woman are walking in the street.,,"isa_wn(cross, walk)","isa_wn(cross, walk)","isa_wn(cross, walk)","isa_wn(cross, walk)","isa_wn(cross, walk)",Stefan_KB,"(cross, walk)"
4729746211.jpg#1r1e,anthropic/claude-sonnet-4.5,5,A man in a hat is working with golden colored flowers.,"A man in a hat is working with flowers,",,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
4734,anthropic/claude-sonnet-4.5,5,A man is fitting a silencer to a pistol,A man is applying a silencer to a gun,,"isa_wn(fit, apply); isa_wn(pistol, gun)","isa_wn(fit, apply); isa_wn(pistol, gun)","isa_wn(fit, apply); isa_wn(pistol, gun)","isa_wn(fit, apply); isa_wn(pistol, gun)","isa_wn(fit, apply); isa_wn(pistol, gun)",Lasha_KB,"(fit, apply); (pistol, gun)"
4734162520.jpg#2r1e,anthropic/claude-sonnet-4.5,5,Police officer and his motorcycle in a crowd of people at a protest.,A police officer is on his motorcycle.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
4740975956.jpg#4r1e,anthropic/claude-sonnet-4.5,5,Tall man being stopped by an officer.,There is a tall man.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
4760159167.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A man walking by a cement column next to the sea.,There is a person near some water.,,"isa_wn(man, person); isa_wn(sea, water)","isa_wn(man, person); isa_wn(sea, water)","isa_wn(man, person); isa_wn(sea, water)","isa_wn(man, person); isa_wn(sea, water)","isa_wn(man, person); isa_wn(sea, water)",Lasha_KB,"(man, person); (next to, near); (sea, water)"
4766,anthropic/claude-sonnet-4.5,5,A man is cooking a snake,A man is roasting a snake,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Jorryt_KB,NO_RELATION
4769459188.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A smiling man wearing a football jersey is carrying a stack of video games.,The man totes the video games,,"isa_wn(carry, tote)","isa_wn(carry, tote)","isa_wn(carry, tote)","isa_wn(carry, tote)","isa_wn(carry, tote)",Stefan_KB,"(carry, tote)"
477990943.jpg#0r1e,anthropic/claude-sonnet-4.5,5,A girl with black hair and a green shirt has taken several bites from a fresh green apple.,The girl is eating in this picture.,,"isa_wn(take bite, eat)","isa_wn(take bite, eat)","isa_wn(take bite, eat)","isa_wn(take bite, eat)","isa_wn(take bite, eat)",Stefan_KB,NO_RELATION
4786470364.jpg#0r1e,anthropic/claude-sonnet-4.5,5,A man in a blue shirt and light blue cap walks by a working scale model of an antique freight train.,a guy with a shirt and hat walks past a train,,"isa_wn(man, guy); isa_wn(cap, hat); isa_wn(scale model, train); isa_wn(walk by, walk past)","isa_wn(man, guy); isa_wn(cap, hat); isa_wn(scale model, train); isa_wn(walk by, walk past)","isa_wn(man, guy); isa_wn(cap, hat); isa_wn(scale model, train); isa_wn(walk by, walk past)","isa_wn(man, guy); isa_wn(cap, hat); isa_wn(scale model, train); isa_wn(walk by, walk past)","isa_wn(man, guy); isa_wn(cap, hat); isa_wn(scale model, train); isa_wn(walk by, walk past)",Stefan_KB,"(cap, hat); (man, guy); (walk by, walk past)"
4803960387.jpg#0r1e,anthropic/claude-sonnet-4.5,5,A man wearing a white and blue shirt cooking corn on the cob while a different man buys a piece of corn.,A man is holding to some vegetables near another man.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,"(corn, vegetable)"
4813609768.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A woman in a blue shirt stands with her hands on her hips.,The woman in the blue shirt is touching herself.,,"isa_wn(stand with hands on hips, touch oneself)","isa_wn(stand with hands on hips, touch oneself); isa_wn(stand with hand on hips, touch oneself)","isa_wn(stand with hand on hips, touch oneself)","isa_wn(stand with hands on hips, touch oneself)","isa_wn(stand with hands on hips, touch oneself)",Stefan_KB,NO_RELATION
481887827.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A group of people sit before a campfire.,People are around a fire,,"isa_wn(sit before, be around); isa_wn(campfire, fire)","isa_wn(sit before, be around); isa_wn(campfire, fire)","isa_wn(sit before, be around); isa_wn(campfire, fire)","isa_wn(sit before, be around); isa_wn(campfire, fire)","isa_wn(sit before, be around); isa_wn(campfire, fire)",Lasha_KB,"(campfire, fire)"
481888930.jpg#1r1e,anthropic/claude-sonnet-4.5,5,A woman with sneakers and a skirt is sweeping out a storage building.,Casually dressed woman cleans out storage building.,,"isa_wn(sweep out, clean out)","isa_wn(sweep out, clean out)","isa_wn(sweep out, clean out)","isa_wn(sweep out, clean out)","isa_wn(sweep out, clean out)",Stefan_KB,"(sweep out, clean out)"
4820830153.jpg#0r1e,anthropic/claude-sonnet-4.5,5,A local street in an Arabic country where there is a market selling Coca-Cola.,A market is selling soft drinks in an Arabic country.,,"isa_wn(Coca-Cola, soft drink)","isa_wn(Coca-Cola, soft drink)","isa_wn(coca-cola, soft drink)","isa_wn(coca-cola, soft drink)","isa_wn(Coca-Cola, soft drink)",Stefan_KB,"(coca-cola, soft drink)"
4833879670.jpg#0r1e,anthropic/claude-sonnet-4.5,5,"A man is standing on the sidewalk, playing a guitar and singing, with a container of tips by him.",A man is performing outside.,,"isa_wn(play guitar and sing, perform); isa_wn(sidewalk, outside)","isa_wn(play guitar and sing, perform); isa_wn(sidewalk, outside)","isa_wn(play guitar and sing, perform); isa_wn(sidewalk, outside)","isa_wn(play guitar and sing, perform); isa_wn(sidewalk, outside)","isa_wn(play guitar and sing, perform); isa_wn(sidewalk, outside)",Stefan_KB,"(sidewalk, outside)"
4851047049.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A man playing a guitar while a woman in a checks the oven.,A man plays an instrument.,,"isa_wn(guitar, instrument)","isa_wn(guitar, instrument)","isa_wn(guitar, instrument)","isa_wn(guitar, instrument)","isa_wn(guitar, instrument)",Stefan_KB,"(guitar, instrument)"
4876043682.jpg#2r1e,anthropic/claude-sonnet-4.5,5,A boy rides on a camel in a crowded area while talking on his cellphone.,A boy is riding an animal.,,"isa_wn(camel, animal)","isa_wn(camel, animal)","isa_wn(camel, animal)","isa_wn(camel, animal)","isa_wn(camel, animal)",Lasha_KB,"(camel, animal)"
4887879873.jpg#2r1e,anthropic/claude-sonnet-4.5,5,A man wearing a black jacket stands next to a body of water.,A person is outside near some water.,,"isa_wn(man, person); isa_wn(body of water, water)","isa_wn(man, person); isa_wn(body of water, water)","isa_wn(man, person); isa_wn(body of water, water)","isa_wn(man, person); isa_wn(body of water, water)","isa_wn(man, person); isa_wn(body of water, water)",Stefan_KB,"(man, person)"
489,anthropic/claude-sonnet-4.5,5,There is no dog playing with a red ball,Two daschunds are playing with a red ball,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,"(daschund, dog)"
4894267064.jpg#3r1e,anthropic/claude-sonnet-4.5,5,2 woman walking down the street next to graffiti,The woman are by grafitti.,,"isa_wn(walk down street next to, be by)","isa_wn(walk down street next to, be by)","isa_wn(walk down street next to, be by)","isa_wn(walk down street next to, be by)","isa_wn(walk down street next to, be by)",Stefan_KB,NO_RELATION
4909669888.jpg#2r1e,anthropic/claude-sonnet-4.5,5,A Black woman on the street is talking on her cellphone.,A black woman is on her phone.,,"isa_wn(cellphone, phone)","isa_wn(cellphone, phone)","isa_wn(cellphone, phone)","isa_wn(cellphone, phone)","isa_wn(cellphone, phone)",Stefan_KB,"(cellphone, phone)"
4915658588.jpg#4r1e,anthropic/claude-sonnet-4.5,5,Three people wearing black chatting on a street corner.,Three people are talking outside.,,"isa_wn(chat, talk); isa_wn(street corner, outside)","isa_wn(chat, talk); isa_wn(street corner, outside)","isa_wn(chat, talk); isa_wn(street corner, outside)","isa_wn(chat, talk); isa_wn(street corner, outside)","isa_wn(chat, talk); isa_wn(street corner, outside)",Stefan_KB,"(chat, talk); (street corner, outside)"
4916,anthropic/claude-sonnet-4.5,5,A man is singing and playing a guitar,A man is singing and playing a musical instrument,,"isa_wn(guitar, musical instrument)","isa_wn(guitar, musical instrument)","isa_wn(guitar, musical instrument)","isa_wn(guitar, musical instrument)","isa_wn(guitar, musical instrument)",Stefan_KB,"(guitar, musical instrument)"
4929903531.jpg#1r1e,anthropic/claude-sonnet-4.5,5,A child is looking at some colorful dresses.,A person is looking at some colorful dresses.,,"isa_wn(child, person)","isa_wn(child, person)","isa_wn(child, person)","isa_wn(child, person)","isa_wn(child, person)",Lasha_KB,"(child, person)"
493507605.jpg#2r1e,anthropic/claude-sonnet-4.5,5,Two black dogs run along the green grass.,Two dogs run along the lawn.,,"isa_wn(green grass, lawn)","isa_wn(green grass, lawn)","isa_wn(green grass, lawn)","isa_wn(green grass, lawn)","isa_wn(green grass, lawn)",Stefan_KB,NO_RELATION
4935241932.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A green bike is parked next to a door.,The bike is outside.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
4938897545.jpg#4r1e,anthropic/claude-sonnet-4.5,5,A motorcycle rider is making a sharp turn.,The motorcyclist is turning.,,"isa_wn(motorcycle rider, motorcyclist); isa_wn(make sharp turn, turn)","isa_wn(motorcycle rider, motorcyclist); isa_wn(make sharp turn, turn)","isa_wn(motorcycle rider, motorcyclist); isa_wn(make sharp turn, turn)","isa_wn(motorcycle rider, motorcyclist); isa_wn(make sharp turn, turn)","isa_wn(motorcycle rider, motorcyclist); isa_wn(make sharp turn, turn)",Stefan_KB,"(motorcycle rider, motorcyclist)"
4950416860.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A man in a canoe throwing a yellow net into the water.,A man is in a boat,,"isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)",Stefan_KB,"(canoe, boat)"
4972,anthropic/claude-sonnet-4.5,5,An onion is being chopped,An onion is being sliced,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,"(chop, slice)"
4974,anthropic/claude-sonnet-4.5,5,Someone is holding a hedgehog,Someone is holding a small animal,,"isa_wn(hedgehog, small animal)","isa_wn(hedgehog, small animal)","isa_wn(hedgehog, small animal)","isa_wn(hedgehog, small animal)","isa_wn(hedgehog, small animal)",Lasha_KB,"(hedgehog, small animal)"
4979886037.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A smiling costumed woman is holding an umbrella.,A happy woman holds an umbrella.,,"isa_wn(smiling, happy)","isa_wn(smiling, happy); isa_wn(smile, happy)","isa_wn(smile, happy)","isa_wn(smiling, happy)","isa_wn(smiling, happy)",Stefan_KB,"(smiling, happy)"
4980505768.jpg#1r1e,anthropic/claude-sonnet-4.5,5,A woman dressed as Snow White walks with other girls in costume down a street.,A woman is dressed as a fairy tale character.,,"isa_wn(Snow White, fairy tale character)","isa_wn(Snow White, fairy tale character)","isa_wn(snow white, fairy tale character)","isa_wn(snow white, fairy tale character)","isa_wn(Snow White, fairy tale character)",Stefan_KB,"(snow white, fairy tale character)"
4985197970.jpg#0r1e,anthropic/claude-sonnet-4.5,5,"A sunny street with a red building, parked cars, and a man walking down the road.",The sun is shining.,,"isa_wn(sunny, sun shine)","isa_wn(sunny, sun shine)","isa_wn(sunny, sun shine)","isa_wn(sunny, sun shine)","isa_wn(sunny, sun shine)",Stefan_KB,NO_RELATION
4985197970.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A person is walking down a cobblestone street.,The cobblestone street is not empty.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
501699433.jpg#0r1e,anthropic/claude-sonnet-4.5,5,Two boys are swimming underwater in a pool and a girl is swimming in the background.,There are some kids in this picture,,"isa_wn(boy, kid); isa_wn(girl, kid)","isa_wn(boy, kid); isa_wn(girl, kid)","isa_wn(boy, kid); isa_wn(girl, kid)","isa_wn(boy, kid); isa_wn(girl, kid)","isa_wn(boy, kid); isa_wn(girl, kid)",Lasha_KB,"(boy, kid); (girl, kid)"
5030,anthropic/claude-sonnet-4.5,5,The man is talking on the telephone,The man is speaking on the telephone,,"isa_wn(talk, speak)","isa_wn(talk, speak)","isa_wn(talk, speak)","isa_wn(talk, speak)","isa_wn(talk, speak)",Stefan_KB,"(talk, speak)"
5042057368.jpg#3r1e,anthropic/claude-sonnet-4.5,5,Old woman chasing away two lambs with a broom.,There is a woman and some animals.,,"isa_wn(lamb, animal)","isa_wn(lamb, animal)","isa_wn(lamb, animal)","isa_wn(lamb, animal)","isa_wn(lamb, animal)",Lasha_KB,"(lamb, animal)"
506442755.jpg#3r1e,anthropic/claude-sonnet-4.5,5,bicycles stationed while a group of people socialize.,People get together near a stand of bicycles.,,"isa_wn(socialize, get together); isa_wn(stationed, near stand)","isa_wn(socialize, get together); isa_wn(stationed, near stand); isa_wn(station, near stand)","isa_wn(socialize, get together); isa_wn(station, near stand)","isa_wn(socialize, get together); isa_wn(station, near stand)","isa_wn(socialize, get together); isa_wn(stationed, near stand); isa_wn(station, near stand)",Stefan_KB,"(socialize, get together)"
507035997.jpg#2r1e,anthropic/claude-sonnet-4.5,5,A man cooking kabobs on a barbecue in his backyard.,The man is have a cookout.,,"isa_wn(cook on barbecue, have cookout)","isa_wn(cook on barbecue, have cookout)","isa_wn(cook on barbecue, have cookout)","isa_wn(cook on barbecue, have cookout)","isa_wn(cook on barbecue, have cookout)",Stefan_KB,NO_RELATION
507746329.jpg#3r1e,anthropic/claude-sonnet-4.5,5,Six children splashing in an outdoor water park.,Kids are wet.,,"isa_wn(child, kid); isa_wn(splash, wet)","isa_wn(child, kid); isa_wn(splash, wet)","isa_wn(child, kid); isa_wn(splash, wet)","isa_wn(child, kid); isa_wn(splash, wet)","isa_wn(child, kid); isa_wn(splash, wet)",Ettore_KB,"(child, kid); (splash, wet)"
5110,anthropic/claude-sonnet-4.5,5,A chef is preparing some food,A chef is preparing a meal,,"isa_wn(food, meal)","isa_wn(food, meal)","isa_wn(food, meal)","isa_wn(food, meal)","isa_wn(food, meal)",Stefan_KB,"(food, meal)"
5113,anthropic/claude-sonnet-4.5,5,Two sumo ringers are fighting,Two sumo wrestlers are fighting,,"isa_wn(ringer, wrestler)","isa_wn(ringer, wrestler)","isa_wn(ringer, wrestler)","isa_wn(ringer, wrestler)","isa_wn(ringer, wrestler)",Stefan_KB,"(sumo ringer, sumo wrestler)"
51145797.jpg#4r1e,anthropic/claude-sonnet-4.5,5,Two people are in a green forest.,The forest is not dead.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
5149,anthropic/claude-sonnet-4.5,5,A lemur is hanging on a cord,A lemur is hanging on a rope,,"isa_wn(cord, rope)","isa_wn(cord, rope)","isa_wn(cord, rope)","isa_wn(cord, rope)","isa_wn(cord, rope)",Lasha_KB,"(cord, rope)"
5198,anthropic/claude-sonnet-4.5,5,A boy is saying a word,A child is talking,,"isa_wn(boy, child); isa_wn(say, talk)","isa_wn(boy, child); isa_wn(say, talk)","isa_wn(boy, child); isa_wn(say, talk)","isa_wn(boy, child); isa_wn(say, talk)","isa_wn(boy, child); isa_wn(say, talk)",Stefan_KB,"(boy, child); (say, talk)"
5217397101.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A nun is taking a picture outside.,A woman is outside,,"isa_wn(nun, woman)","isa_wn(nun, woman)","isa_wn(nun, woman)","isa_wn(nun, woman)","isa_wn(nun, woman)",Lasha_KB,"(nun, woman)"
5218695756.jpg#0r1e,anthropic/claude-sonnet-4.5,5,"A worker in a striped orange, gray, and white t-shirt hovers over a stand that is displaying different kinds of flat bread.",A worker stands over a bread display.,,"isa_wn(hover over, stand over); isa_wn(flat bread, bread)","isa_wn(hover over, stand over); isa_wn(flat bread, bread)","isa_wn(hover over, stand over); isa_wn(flat bread, bread)","isa_wn(hover over, stand over); isa_wn(flat bread, bread)","isa_wn(hover over, stand over); isa_wn(flat bread, bread)",Stefan_KB,"(hover over, stand over); (stand, display)"
5230,anthropic/claude-sonnet-4.5,5,A tiger is walking around,A tiger is strolling around,,"isa_wn(walk, stroll)","isa_wn(walk, stroll)","isa_wn(walk, stroll)","isa_wn(walk, stroll)","isa_wn(walk, stroll)",Lasha_KB,"(walk, stroll)"
5262731925.jpg#3r1e,anthropic/claude-sonnet-4.5,5,One man watching another man operate heavy machinery doing road construction.,A man watches another do construction work.,,"isa_wn(operate heavy machinery, do construction work); isa_wn(road construction, construction work)","isa_wn(operate heavy machinery, do construction work); isa_wn(road construction, construction work)","isa_wn(operate heavy machinery, do construction work); isa_wn(road construction, construction work)","isa_wn(operate heavy machinery, do construction work); isa_wn(road construction, construction work)","isa_wn(operate heavy machinery, do construction work); isa_wn(road construction, construction work)",Lasha_KB,"(road construction, construction work)"
5266194002.jpg#0r1e,anthropic/claude-sonnet-4.5,5,A man in a blue t-shirt is watching two women sitting at a table in the kitchen baking.,A man watches two women cook,,"isa_wn(bake, cook)","isa_wn(bake, cook)","isa_wn(bake, cook)","isa_wn(bake, cook)","isa_wn(bake, cook)",Stefan_KB,"(bake, cook)"
5280521648.jpg#0r1e,anthropic/claude-sonnet-4.5,5,A young man and a young women in white lab coats are reading a biology textbook together and looking at a microscope in a laboratory.,Two people are referencing a textbook in a laboratory.,,"isa_wn(young man and young woman, two people); isa_wn(read, reference)","isa_wn(young man and young woman, two people); isa_wn(read, reference)","isa_wn(young man and young woman, two people); isa_wn(read, reference)","isa_wn(young man and young woman, two people); isa_wn(read, reference)","isa_wn(young man and young woman, two people); isa_wn(read, reference)",Stefan_KB,"(read, reference)"
530661899.jpg#2r1e,anthropic/claude-sonnet-4.5,5,A man and women walk atop a hill.,A man and woman are walking.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
533601247.jpg#2r1e,anthropic/claude-sonnet-4.5,5,A boy in sandals is looking at a camera in a busy street.,"A boy is in a busy street, wearing sandals, looking at a camera",,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
5430568615.jpg#4r1e,anthropic/claude-sonnet-4.5,5,A crowd of people are watching hot air balloons inflate.,People watching hot air balloons inflating.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Lasha_KB,NO_RELATION
5435,anthropic/claude-sonnet-4.5,5,Two baby pandas are playing,Two cubs are playing,,"isa_wn(baby panda, cub)","isa_wn(baby panda, cub)","isa_wn(baby panda, cub)","isa_wn(baby panda, cub)","isa_wn(baby panda, cub)",Stefan_KB,"(baby panda, cub)"
5436986554.jpg#1r1e,anthropic/claude-sonnet-4.5,5,Military men dressed in camouflage and white aim there weapons while out in the snowy weather.,men have weapons,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
5462,anthropic/claude-sonnet-4.5,5,A boy is mowing the lawn,A guy is mowing the lawn,,"isa_wn(boy, guy)","isa_wn(boy, guy)","isa_wn(boy, guy)","isa_wn(boy, guy)","isa_wn(boy, guy)",Lasha_KB,"(boy, guy)"
5498,anthropic/claude-sonnet-4.5,5,A woman is cutting a lemon,A woman is cutting fruit,,"isa_wn(lemon, fruit)","isa_wn(lemon, fruit)","isa_wn(lemon, fruit)","isa_wn(lemon, fruit)","isa_wn(lemon, fruit)",Stefan_KB,"(lemon, fruit)"
552863655.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A young boy kissing an old man on the forehead.,There is a boy showing affection to an old man.,,"isa_wn(kiss, show affection)","isa_wn(kiss, show affection)","isa_wn(kiss, show affection)","isa_wn(kiss, show affection)","isa_wn(kiss, show affection)",Lasha_KB,NO_RELATION
5554,anthropic/claude-sonnet-4.5,5,The man is aiming a gun,The man is handling a gun,,"isa_wn(aim, handle)","isa_wn(aim, handle)","isa_wn(aim, handle)","isa_wn(aim, handle)","isa_wn(aim, handle)",Stefan_KB,"(aim, handle)"
5555,anthropic/claude-sonnet-4.5,5,The man is aiming a gun,The man is drawing a gun,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
562928217.jpg#4r1e,anthropic/claude-sonnet-4.5,5,A black and a white dog are going after a tennis ball.,The dogs are chasing a ball.,,"isa_wn(go after, chase)","isa_wn(go after, chase)","isa_wn(go after, chase)","isa_wn(go after, chase)","isa_wn(go after, chase)",Lasha_KB,"(go after, chase)"
5728602543.jpg#4r1e,anthropic/claude-sonnet-4.5,5,Two young girls looking at Barbie dolls.,Two girls are watching dolls.,,"isa_wn(look at, watch); isa_wn(Barbie doll, doll)","isa_wn(look at, watch); isa_wn(Barbie doll, doll)","isa_wn(look at, watch); isa_wn(barbie doll, doll)","isa_wn(look at, watch); isa_wn(Barbie doll, doll)","isa_wn(look at, watch); isa_wn(Barbie doll, doll)",Lasha_KB,"(look, watch)"
5770115416.jpg#3r1e,anthropic/claude-sonnet-4.5,5,Elderly man painting a picture with a small paintbrush.,An old man is creating art.,,"isa_wn(elderly, old); isa_wn(paint picture, create art)","isa_wn(elderly, old); isa_wn(paint picture, create art)","isa_wn(elderly, old); isa_wn(paint picture, create art)","isa_wn(elderly, old); isa_wn(paint picture, create art)","isa_wn(elderly, old); isa_wn(paint picture, create art)",Stefan_KB,"(elderly, old); (paint, creat); (picture, art)"
5791070.jpg#3r1e,anthropic/claude-sonnet-4.5,5,"Interior of the restaurant chain: Planet Hollywood, various movie memorabilia decorate the space.",The inside of a restaurant.,,"isa_wn(interior, inside)","isa_wn(interior, inside)","isa_wn(interior, inside)","isa_wn(interior, inside)","isa_wn(interior, inside)",Stefan_KB,"(interior, inside)"
5806,anthropic/claude-sonnet-4.5,5,A man is rowing a canoe,A man is rowing a boat,,"isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)",Lasha_KB,"(canoe, boat)"
5871026012.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A golfer has just finished swinging his club.,a human outside,,"isa_wn(golfer, human)","isa_wn(golfer, human)","isa_wn(golfer, human)","isa_wn(golfer, human)","isa_wn(golfer, human)",Lasha_KB,"(golfer, human)"
5938,anthropic/claude-sonnet-4.5,5,Vegetables are being put into a pot by a man,Someone is pouring ingredients into a pot,,"isa_wn(man, someone); isa_wn(vegetable, ingredient); isa_wn(put into, pour into)","isa_wn(man, someone); isa_wn(vegetable, ingredient); isa_wn(put into, pour into)","isa_wn(man, someone); isa_wn(vegetable, ingredient); isa_wn(put into, pour into)","isa_wn(man, someone); isa_wn(vegetable, ingredient); isa_wn(put into, pour into)","isa_wn(man, someone); isa_wn(vegetable, ingredient); isa_wn(put into, pour into)",Alternative_KB,"(vegetable, ingredient); (man, someone)"
6065,anthropic/claude-sonnet-4.5,5,A person in a blue jacket is jumping off of a tall cement wall,A person in a blue colored jacket is jumping off of a tall cement wall,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
6167481552.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A football team getting ready for the coin toss in a half empty stadium.,The stadium is not full.,,"isa_wn(half empty, not full)","isa_wn(half empty, not full)","isa_wn(half empty, not full)","isa_wn(half empty, not full)","isa_wn(half empty, not full)",Stefan_KB,"(half empty, not full)"
6167481552.jpg#3r1n,anthropic/claude-sonnet-4.5,5,A football team getting ready for the coin toss in a half empty stadium.,There is a game about to be played.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
6214,anthropic/claude-sonnet-4.5,5,A man is on a ship in front of the sunset,A man is on a boat in front of the sunset,,"isa_wn(ship, boat)","isa_wn(ship, boat)","isa_wn(ship, boat)","isa_wn(ship, boat)","isa_wn(ship, boat)",Stefan_KB,"(ship, boat)"
6220789654.jpg#3r1e,anthropic/claude-sonnet-4.5,5,A woman closes her eyes as she plays her cello.,A woman is making music.,,"isa_wn(play cello, make music)","isa_wn(play cello, make music)","isa_wn(play cello, make music)","isa_wn(play cello, make music)","isa_wn(play cello, make music)",Lasha_KB,NO_RELATION
6285562381.jpg#2r1e,anthropic/claude-sonnet-4.5,5,A man and a woman hug on a grassy hillside overlooking the countryside in the distance.,The man and woman are outdoors.,,"isa_wn(grassy hillside, outdoors)","isa_wn(grassy hillside, outdoors)","isa_wn(grassy hillside, outdoors)","isa_wn(grassy hillside, outdoors)","isa_wn(grassy hillside, outdoors)",Stefan_KB,"(hillside, outdoors)"
